"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Hippo","Hippo",142,0.389464842294951,1.50149131333214,0.00577125573858162,0.0104585806130702,NA,1978,"tags=29%, list=11%, signal=26%","BMP4/WNT7B/WNT5B/FZD4/WWTR1/FZD8/MYC/TGFBR1/FZD6/GDF6/TEAD2/YAP1/CCND1/WTIP/RASSF6/WNT9A/TGFB1/BMPR2/PALS1/TCF7/FZD7/AJUBA/GDF5/BMPR1B/ACTB/MOB1B/CCN2/GLI2/BBC3/SMAD1/FZD2/LIMD1/BIRC3/AXIN1/GSK3B/BMPR1A/TEAD1/LATS1/FZD5/TGFB3/DLG4"
"Cell Population Proliferation","Cell Population Proliferation",218,0.347440784206656,1.39706696345236,0.0104585806130702,0.0104585806130702,NA,2365,"tags=24%, list=14%, signal=21%","DRD2/NOG/BMP4/IGFBP5/FGF18/FGFR1/ADM/ROR1/EXT1/GDF11/FZD4/SLC20A1/KANK1/BCL2/VEGFA/RHBDF1/ST8SIA1/ZEB1/YAP1/B4GALT1/CCND1/TGFB1/BTG1/ZFP36L1/EGFR/SMO/CSF2/GLI3/ILK/GLI2/FOXC1/CALCRL/SIX5/LIF/SMAD1/CDC25A/VEGFC/MCM7/RBPJ/BOP1/RARG/LHX9/NDST1/ITGB1/OSR2/MELK/NKX2-5/BTC/FBXW8/MVP/ASPH/BIRC6/IRS2"
