"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
23.2573215126969,-4.53104437560654,0.7942199467739,-5.70502465219051,1.163262516457e-08,6.95459706924754e-08,"ANKRD65"
377.306930562554,-2.00689265499338,0.151218093595536,-13.2715114129214,3.38680136275805e-40,1.27484726832916e-38,"VWA1"
88.7970203697547,-4.17048589842098,0.394888777472032,-10.5611659189691,4.51024580838695e-26,9.4071607282896e-25,"PRKCZ"
16.756526903172,-7.29232621582251,1.29977896201473,-5.61043564247186,2.01817917158395e-08,1.17689098566337e-07,"AJAP1"
9322.56058497188,-6.12939665557805,0.0947877972944297,-64.6644065009648,0,0,"PADI2"
640.430380453285,-7.20738913516584,0.66730056034136,-10.8008138513759,3.41166016095747e-27,7.54652344052396e-26,"PADI4"
317.697053537789,2.00005497216099,0.173884767681335,11.5021861824397,1.28615872029858e-30,3.29350512594998e-29,"SH2D5"
6172.17829542943,-2.67984938158204,0.0844924885333123,-31.7170132884117,9.05397048020653e-221,6.90503026927403e-218,"ID3"
22.3753579561288,-3.72277561958404,0.717684667069009,-5.18720238902091,2.13476692825653e-07,1.10135137319258e-06,"MYOM3"
346.389769685157,-2.23810992911335,0.175059036008983,-12.7848866310363,1.99152997381538e-37,6.84969162170502e-36,"STPG1"
15.0536451769546,-2.476416358107,0.769080274909351,-3.21997122913975,0.00128203462732779,0.00368839911398341,"RUNX3"
14.470033663485,-2.10399881736129,0.691281372684529,-3.04362145502432,0.00233749064640205,0.00639555817010425,"CRYBG2"
332.2762617155,-2.24567853610462,0.163161448484577,-13.763536404967,4.22351075473336e-43,1.72691380300181e-41,"SFN"
172.269972956516,-2.46221968508669,0.23648667617197,-10.4116634600429,2.19354750533461e-25,4.39737334755136e-24,"SYTL1"
2520.79044916543,-2.8168237905711,0.0964463003251981,-29.2061362755577,1.62072764416923e-187,1.05293272616194e-184,"TINAGL1"
38.1002054199421,-2.51238104728576,0.468891315002502,-5.35813090774,8.40873071704893e-08,4.56083937871847e-07,"BMP8B"
40.4835726871703,-3.35869905491141,0.505240071858119,-6.64772895498796,2.976497689799e-11,2.32875762608226e-10,"MYCL"
1394.74161191504,-2.47625371193415,0.110752936132359,-22.3583572445865,1.00130970953057e-110,2.01884754193974e-108,"MFSD2A"
462.545952382266,2.24480239240918,0.13155730389947,17.0633049315495,2.78351988845364e-65,2.17971974836452e-63,"CITED4"
65.7373030566245,-2.94584256805535,0.364674068488961,-8.07801492511257,6.58295513611138e-16,7.47389100598898e-15,"TIE1"
35.2190906150283,2.176066630431,0.44932762079539,4.84293982768958,1.27932040135448e-06,5.96347572685595e-06,"KLF17"
10.4654713824916,-4.70001877628954,1.22674859298111,-3.8312811632154,0.000127477728166244,0.000442351499458769,"FAAHP1"
69.8699313407972,-4.09918103652614,0.460887833574906,-8.89409686675948,5.88963061838953e-19,8.08372540509944e-18,"CYP2J2"
64.6109558873092,-2.33017137214859,0.351834129020061,-6.62292591863858,3.52157535980474e-11,2.73811850116733e-10,"KANK4"
609.177199878295,2.02333389375285,0.128736938536749,15.7168091516738,1.16021450993103e-55,7.21678110592208e-54,"ROR1"
39.7222853631828,-3.06323400142512,0.469078818428554,-6.53031831982346,6.56300549530227e-11,4.97715864215725e-10,"ERICH3"
953.477345831824,2.06695266322338,0.135957593665907,15.2029217897352,3.3819403615443e-52,1.85383174630776e-50,"SLC44A5"
365.559358919405,2.16348731293223,0.153561518151994,14.0887335510113,4.45478950966948e-45,1.93899411387376e-43,"ST6GALNAC5"
44.9178098196798,-2.03017582373659,0.411281408389858,-4.93622075377686,7.96509465975538e-07,3.81320211317601e-06,"DNAI3"
53.9365612486629,3.0494695439096,0.380523269203907,8.01388453928034,1.11141052303422e-15,1.24809551757639e-14,"CLCA2"
10.2517202022554,-3.22046885987926,1.00917896728065,-3.19117714923964,0.00141694372407629,0.00404139997788979,"PLPPR5"
1208.79174627195,-3.11554192991715,0.273640113832579,-11.3855453657037,4.93584743440654e-30,1.23862231540666e-28,"PLPPR4"
184.703144944033,-2.58352486075564,0.223256961013476,-11.5719789834446,5.71490706260547e-31,1.49174382120778e-29,"FRRS1"
106.862066905622,-2.41725046334707,0.275918369285422,-8.76074496093647,1.93964202833061e-18,2.60116672927731e-17,"ELAPOR1"
505.226642557062,-2.70233707420835,0.147368364137934,-18.3372943712601,4.17042994323853e-75,3.95424387212687e-73,"GSTM3"
19.6306383952283,-2.53307275103532,0.625749757543779,-4.04806029966077,5.16438430997585e-05,0.000190471962113723,"C1orf162"
19.590388653826,-7.52538784766157,1.28106612238603,-5.87431649011628,4.24591521296689e-09,2.6646725849965e-08,"KCND3"
14.7059698073476,-2.13175734373412,0.767105476715365,-2.77896248748216,0.00545328222705487,0.0137338152971672,"DENND2C"
92.9027294332319,-3.23069246301618,0.349330134455328,-9.24825013465683,2.2819779974369e-20,3.40086457544951e-19,"SPAG17"
49.7166208359463,-2.59927773022992,0.419110103480713,-6.201897087765,5.57865549470142e-10,3.85712242934795e-09,"LSP1P5"
1260.5770146348,-2.39637912726119,0.113615651654598,-21.0919806590241,9.42325474723956e-99,1.53049362519749e-96,"ACP6"
35.3444671718797,-3.96965765964175,0.573913682683214,-6.91682003656446,4.61894238138176e-12,3.87104005312076e-11,"SELENBP1"
6383.02573321069,-2.57398960070251,0.0851628263735071,-30.2243327319071,1.13467206925048e-200,7.65510875643176e-198,"S100A2"
21.0432647688589,-2.51746060337515,0.609810065627228,-4.12827000614656,3.65502776873316e-05,0.00013758120620461,"KCNN3"
