"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MES","MES",191,0.453888665088347,1.78895781298151,8.91290012236294e-06,2.67387003670888e-05,NA,2384,"tags=36%, list=14%, signal=31%","CHI3L1/LTBP1/LTBP2/CYBRD1/VDR/EFEMP2/WWTR1/NPC2/BDKRB2/RAB11FIP1/DRAM1/CNN2/COL1A2/MAN1A1/C5AR1/LGALS3/EHD2/WIPF1/CTSB/ZNF217/MYOF/YAP1/PLAU/ARHGAP29/GRN/SH2B3/TMBIM1/MYH9/MAN2B1/FHL2/MRC2/ITGA4/LAMB1/SWAP70/EMP3/MFSD1/RELB/LGALS1/RBM47/RRAS/ANXA4/IL15RA/ARSJ/NRP1/RAB32/CEBPB/IL1R1/IGFBP6/AMPD3/RBMS1/THBS1/HEXA/DSE/PLA2G15/FMNL1/FNDC3B/CAVIN1/TGOLN2/BNC2/IFI30/COLGALT1/VAMP5/LOX/ITGA5/FCGR2A/PLAUR/MVP/TNFAIP3/RAB27A"
"EMT","EMT",157,0.42510239168534,1.63586639546272,0.000766293174250271,0.00114943976137541,NA,2608,"tags=31%, list=15%, signal=26%","NOG/IL17RD/BMP4/HAS2/SPRY1/AGT/FGFR1/WWTR1/HMGA2/PTK2/CUL7/TGFB1I1/PDCD4/TGFBR1/VEGFA/SFRP1/TGFB1/SPRED2/EPHA4/LIMS1/ACVR1/ROCK2/TRIM62/POFUT2/PHLDB2/FOXC1/SDCBP/LRP6/SPRED1/PTEN/GSK3B/RBPJ/TASOR/RTN4/TGFBR3/TWIST1/TGFB3/SLC39A6/HDAC2/FERMT2/PPP3R1/SPRED3/EZH2/VASN/SMAD7/TGFB2/SMAD4/ZNF703"
"PN","PN",155,-0.380147646369752,-1.46801622427344,0.00784725067815907,0.00784725067815907,NA,2778,"tags=26%, list=16%, signal=22%","SATB1/ARHGEF9/GADD45G/CASK/FXYD6/RALGPS1/MMP15/NR0B1/SRGAP3/KAT7/ZNF286A/GSTA4/ACTR1A/CLASP2/CBX1/EPB41/STMN1/ALCAM/EPHB1/NCAM1/KIF21B/INAVA/RAP2A/DCAF7/MYO10/SLCO5A1/BCAN/ZC4H2/HMGB3/PAK3/KDM1A/PFN2/REEP1/MTSS1/CKB/SOX2/BEX1/JPT1/GABRA3/MLLT11/CNTN1"
