"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GTPBP5","0.151","8.888","1.6","0.1135","0.2586","-5.16"
"NLRP10","0.151","-0.8234","1.478","0.1433","0.3042","-5.339"
"SMG5","0.1509","11.04","1.496","0.1386","0.2972","-5.314"
"RRP1B","0.1509","9.668","1.219","0.2267","0.4122","-5.676"
"USP18","0.1508","8.201","0.6527","0.5158","0.6939","-6.192"
"C6orf52","0.1507","4.661","0.526","0.6004","0.7645","-6.265"
"RBBP7","0.1504","11.67","1.741","0.08551","0.2122","-4.936"
"RRAS2","0.1504","8","0.9882","0.3261","0.5257","-5.923"
"GCNT4","0.1503","3.544","0.4531","0.6517","0.8054","-6.3"
"DLD","0.1502","10.85","1.899","0.06121","0.1676","-4.665"
"MATN4","0.1502","1.903","0.3699","0.7125","0.8488","-6.334"
"FLJ43663","0.1501","7.826","0.7602","0.4494","0.6358","-6.117"
"SELS","0.1501","9.904","1.236","0.2201","0.404","-5.655"
"RPS15AP10","0.15","0.8169","0.6452","0.5207","0.6983","-6.196"
"SLC2A2","0.1499","-0.2072","0.7502","0.4554","0.6409","-6.125"
"TMEM59","0.1499","12.27","1.205","0.232","0.4186","-5.693"
"PAFAH2","0.1497","8.388","1.276","0.2055","0.3869","-5.607"
"PTAR1","0.1497","10.24","1.285","0.2025","0.3828","-5.596"
"LRRC39","0.1497","4.893","0.5551","0.5804","0.7479","-6.249"
"ZNF219","0.1497","9.509","1.154","0.2519","0.4433","-5.75"
"DGAT2L6","0.1497","-0.7475","1.353","0.18","0.3533","-5.51"
"VANGL2","0.1495","10.6","0.7652","0.4464","0.6331","-6.114"
"SIRT7","0.1495","8.079","1.892","0.06217","0.1696","-4.677"
"FOXI1","0.1494","-0.6593","1.158","0.2504","0.4414","-5.746"
"LOC100133991","0.1494","3.074","0.7425","0.46","0.6447","-6.13"
"C22orf23","0.1494","6.091","1.049","0.2974","0.4957","-5.863"
"NOMO2","0.1493","10.53","0.952","0.344","0.5398","-5.957"
"SETD8","0.1492","9.364","1.838","0.0698","0.1842","-4.772"
"LMAN2L","0.1491","9.664","1.268","0.2084","0.3901","-5.616"
"LYPD3","0.1491","3.329","0.5722","0.5688","0.7378","-6.24"
"IFNA5","0.1491","-0.8566","1.64","0.105","0.2448","-5.099"
"DHDDS","0.149","9.688","2.068","0.04192","0.1277","-4.351"
"MTNR1B","0.1489","-0.3177","0.7202","0.4735","0.6564","-6.146"
"PI4K2A","0.1487","9.56","1.309","0.1943","0.3722","-5.566"
"CDC42EP1","0.1486","10.45","1.071","0.2876","0.485","-5.84"
"NR1H2","0.1486","10.28","1.607","0.1121","0.2562","-5.15"
"MRPL23","0.1484","9.358","1.156","0.2511","0.4423","-5.748"
"ZBTB8OS","0.1484","7.261","1.35","0.181","0.3545","-5.514"
"ADCY3","0.1484","9.943","1.318","0.1914","0.3682","-5.555"
"TFEB","0.1483","9.058","1.282","0.2038","0.3846","-5.6"
"STEAP2","0.1483","7.061","0.4087","0.6839","0.8283","-6.319"
"MYBPHL","0.1482","3.354","0.4501","0.6539","0.8067","-6.301"
"TAX1BP1","0.148","11.76","1.479","0.143","0.3037","-5.338"
"MXD1","0.1478","8.675","1.01","0.3155","0.5149","-5.902"
"SAFB2","0.1477","10.56","1.038","0.3023","0.5011","-5.874"
"KIAA1804","0.1477","4.057","0.4873","0.6274","0.7864","-6.284"
"GPR111","0.1477","-0.6553","0.8879","0.3773","0.5701","-6.015"
"EPB41L4A","0.1476","8.643","0.995","0.3228","0.5223","-5.916"
"UBN1","0.1476","9.583","1.414","0.1613","0.3295","-5.429"
"RNF32","0.1475","4.504","0.6484","0.5186","0.6968","-6.194"
"FAM193B","0.1474","9.428","0.9578","0.3411","0.5384","-5.952"
"MAD1L1","0.1474","9.024","1.42","0.1595","0.3269","-5.42"
"PHOX2A","0.1473","0.4314","0.5125","0.6097","0.7722","-6.272"
"ZBTB1","0.1473","9.353","1.503","0.1367","0.2948","-5.303"
"SIK2","0.1472","9.219","1.28","0.2043","0.3853","-5.602"
"PHF8","0.1472","9.438","1.371","0.1744","0.3455","-5.486"
"C6orf122","0.1472","3.964","0.6721","0.5035","0.6832","-6.179"
"EIF2C2","0.1472","6.795","0.8591","0.3929","0.5841","-6.039"
"LOC644145","0.1471","-0.8706","1.209","0.2303","0.4168","-5.688"
"POU2AF1","0.1469","2.271","0.4465","0.6565","0.8088","-6.303"
"ZNF710","0.1468","7.858","1.11","0.2703","0.4646","-5.798"
"EPS8L3","0.1468","-0.7041","1.049","0.2972","0.4955","-5.862"
"ACE","0.1466","8.462","0.6183","0.5381","0.713","-6.213"
"CCL14.CCL15","0.1465","-0.9268","1.698","0.09342","0.2254","-5.006"
"KIAA1609","0.1464","7.937","1.693","0.09438","0.2271","-5.014"
"SLC39A5","0.1464","0.4095","0.648","0.5189","0.6969","-6.195"
"TUBB3","0.1464","12.1","0.74","0.4615","0.6456","-6.132"
"STARD13","0.1464","8.433","0.9739","0.3331","0.5319","-5.936"
"ZNF619","0.1463","5.935","1.276","0.2056","0.387","-5.607"
"C1orf186","0.1463","-0.4481","0.8389","0.4041","0.5941","-6.056"
"LALBA","0.1462","-0.7222","0.7457","0.4581","0.643","-6.128"
"TAS2R43","0.1461","-0.6975","1.063","0.2909","0.4888","-5.848"
"CHID1","0.1459","10.8","1.377","0.1726","0.3432","-5.479"
"EML6","0.1458","7.423","0.7363","0.4637","0.6475","-6.135"
"CD244","0.1458","3.403","0.4287","0.6693","0.8181","-6.31"
"DDTL","0.1456","8.017","0.9895","0.3254","0.5249","-5.922"
"PHOSPHO1","0.1456","3.944","0.6069","0.5457","0.7193","-6.22"
"C12orf60","0.1455","4.901","0.7127","0.4781","0.6605","-6.151"
"D2HGDH","0.1455","8.365","0.9143","0.3634","0.5557","-5.991"
"HAUS6","0.1454","8.977","1.017","0.3121","0.5112","-5.894"
"SSBP4","0.1454","9.7","1.199","0.2339","0.4212","-5.699"
"ZBTB2","0.1454","8.289","1.433","0.1557","0.3217","-5.402"
"THOC1","0.1454","8.716","1.249","0.2152","0.3986","-5.64"
"COPB1","0.145","11.31","1.593","0.1152","0.2614","-5.171"
"MYEOV","0.145","0.3952","0.592","0.5555","0.7272","-6.229"
"C20orf185","0.145","-0.8448","1.378","0.1722","0.3427","-5.477"
"ZNF524","0.145","7.761","1.054","0.2953","0.4936","-5.858"
"KIF26B","0.1449","7.064","0.5513","0.583","0.7498","-6.251"
"C7orf30","0.1448","9.258","1.163","0.2482","0.4385","-5.74"
"SLC2A12","0.1448","7.271","0.7595","0.4498","0.6361","-6.118"
"GPER","0.1447","7.861","0.8474","0.3993","0.5899","-6.049"
"OR52E2","0.1447","-0.7503","1.424","0.1585","0.3257","-5.415"
"DPP3","0.1446","9.597","1.555","0.1241","0.2759","-5.229"
"LYPLA2","0.1445","9.537","1.397","0.1662","0.3352","-5.451"
"SNX2","0.1444","10.2","1.779","0.07907","0.2008","-4.873"
"WDHD1","0.1443","7.32","0.7243","0.471","0.6544","-6.143"
"C1orf74","0.1443","6.248","1.199","0.2343","0.4216","-5.7"
"AKAP4","0.1442","-0.8118","1.502","0.1371","0.2954","-5.306"
"LOC100133308","0.1442","-0.2358","0.7386","0.4624","0.6464","-6.133"
"PRR7","0.144","7.445","0.6231","0.535","0.7104","-6.21"
"MRAP","0.144","0.7203","0.3391","0.7355","0.8649","-6.344"
"C12orf32","0.144","9.536","1.222","0.2252","0.4107","-5.672"
"TTC17","0.144","9.529","1.446","0.1522","0.3167","-5.385"
"TMEM229A","0.1439","5.377","0.3106","0.7569","0.8812","-6.353"
"VEGFB","0.1439","10.92","1.178","0.2423","0.4314","-5.723"
"SETD7","0.1439","10.49","1.124","0.2645","0.4576","-5.784"
"CHMP2A","0.1438","11.16","1.213","0.2287","0.4149","-5.683"
"GBAP1","0.1437","7.978","0.9635","0.3382","0.5364","-5.946"
"ALAD","0.1437","10.36","1.46","0.1483","0.3108","-5.365"
"SERPINA12","0.1436","-0.3757","0.631","0.5299","0.7058","-6.205"
"LOC100272228","0.1436","4.565","0.5595","0.5774","0.7454","-6.247"
"DNTTIP1","0.1435","9.555","1.353","0.18","0.3533","-5.51"
"FAM169B","0.1435","-0.6326","0.6888","0.493","0.6734","-6.168"
"PDK4","0.1435","8.923","0.5052","0.6148","0.7764","-6.275"
"FLJ44606","0.1434","5.129","0.5492","0.5844","0.7514","-6.253"
