"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MES","MES",208,0.837881690138362,3.83518903812094,1e-10,1.5e-10,NA,3176,"tags=96%, list=15%, signal=82%","CHI3L1/CLCF1/RBM47/ANXA1/CAST/MYOF/ALDH3B1/LOX/RAB27A/CEBPB/SERPINE1/RELB/TIMP1/HK3/PLAUR/DOK3/HEXB/TNFRSF1A/C5AR1/PYGL/ANXA2/PLAU/EMP3/VDR/IQGAP1/CDCP1/ZNF217/SLC11A1/PTPN22/GRN/CTSZ/MVP/SERPINA1/FCGR2B/PLK3/TNFAIP3/NOD2/LILRB2/ARPC1B/NRP1/TCIRG1/SLC16A3/TRADD/CSTA/LILRB3/TNFRSF1B/PDPN/MRC2/EFEMP2/CD2AP/BNC2/S100A11/MFSD1/FURIN/DRAM1/MYO1F/LGALS3/LAIR1/STAB1/FES/MAN2B1/SLC10A3/CD14/SIGLEC9/CYTIP/ELF4/FCGR2A/TNFAIP8/MAFB/LTBP2/SLAMF8/P4HA2/ALOX5/TYMP/KYNU/GNA15/IL4R/WWTR1/CTSB/PTPN6/GCNT1/SHC1/ITGAM/LTBP1/ITGB2/TLR2/WIPF1/IFI30/CTSC/RAC2/LRRFIP1/CLEC2B/TEC/COL1A1/SWAP70/CCR5/MS4A4A/STXBP2/MGAT1/TGFBI/NPC2/ARHGAP29/NCF2/IL15RA/CLIC1/CYTH4/THBS1/FNDC3B/BDKRB2/LCP2/SYPL1/ITGA5/CYBRD1/RHOG/FXYD5/MYH9/DCBLD2/HFE/CASP1/SIGLEC7/SCPEP1/LHFPL2/ARSJ/SRPX2/ST14/SH2B3/LGALS1/LCP1/LAMB1/S100A4/YAP1/THBD/NCF4/COL1A2/BATF/POLD4/ADAM12/LAPTM5/SAT1/PLS3/RUNX2/CASP8/CD4/EHD2/SP100/COL5A1/CASP5/FPR3/DSE/IL1R1/FMNL1/TGFBR2/PLA2G15/TMBIM1/BLVRB/RBMS1/DAB2/CASP4/LY96/COL8A2/MSR1/PTPRC/VAMP5/HEXA/ACSL1/PLBD1/RRAS/MGST2/ENG/DSC2/MAPK13/TRIM22/IGFBP6/SEC24D/MAN2A1/UCP2/ANXA4/CNN2/TGOLN2/TNFRSF11A/ITGA4/FHOD1/PROCR/PHF11/SFT2D2/TRPM2/SYNGR2/RAB11FIP1/LY75/TES/PTGER4/UAP1/COPZ2/ICAM3/MAN1A1/TRIM38/AMPD3/PIGP/FHL2"
"PN","PN",160,-0.757812477586698,-3.72365278017631,1e-10,1.5e-10,NA,3365,"tags=76%, list=16%, signal=64%","CRB1/MTSS1/AMOTL2/CKB/DCAF7/ZC4H2/ZNF286A/CDKN1B/ZNF510/SOX10/SORCS3/RAD21/PAK3/TOP2B/ARHGAP33/CSNK1E/CASK/TTYH1/LRP6/TTC3/MAPT/CRMP1/NOL4/PPM1E/GSK3B/MARCKS/KLRK1/EPHB1/SRGAP3/NLGN3/CSPG5/VAX2/ALCAM/NR0B1/DBN1/SEZ6L/SPTBN2/DCX/BCAN/REEP1/ERBB3/DPYSL4/DNM3/PHLPP1/DLL3/NCAM1/HDAC2/ZNF711/NRXN2/SCN3A/ARHGEF9/PFN2/MARCKSL1/CDK5R1/GABRA3/PAFAH1B3/CELF3/KDM1A/LRRTM4/RALGPS1/IL1RAPL1/LPAR4/ACTR1A/YPEL1/FLRT1/MYT1/OLIG2/GPR17/RAP2A/FGF9/SATB1/FERMT1/P2RX7/DGKI/SLC1A1/BEX1/CXXC4/PLCB4/MLLT11/ATP1A3/MAST1/DPF1/TMEFF1/KIF21B/ZNF184/FAM110B/RAB33A/SCG3/STMN4/MMP16/GNG4/NRXN1/ZNF821/PURG/GPM6A/GRID2/FXYD6/KLRC4/NKAIN1/ZNF248/MATR3/RUFY3/BCL7A/NCALD/KLRC3/GRIA2/PCDH11Y/CA10/MPPED2/GSTA4/PCDH11X/PODXL2/ZNF804A/MAP2/WASF1/CNTN1/STMN1/SEC61A2/DUSP26/PDE10A/CLASP2"
"EMT","EMT",162,0.345042817520511,1.52150876418675,0.00254560441508945,0.00254560441508945,NA,4579,"tags=36%, list=22%, signal=28%","CRB2/VASN/FLNA/PDPN/ADAM8/LOXL3/WWTR1/COL1A1/SDCBP/ELL3/S100A4/LOXL2/TGFB2/TGFB1/IL1B/HAS2/TGFBR2/DAB2/FGFR1/ADIPOR1/LRG1/AKNA/IL6/ADAM15/GATA3/VEGFA/HMGA2/MDK/CUL7/ENG/TGFB1I1/SOX9/EOMES/EMP2/APLF/ROCK1/POFUT2/GSC/LEF1/SPRED2/SNAI1/LIMS1/KLHL12/TGFBR1/HNRNPAB/DAG1/SPRED3/HGF/SP6/SPRY2/HIF1A/EFNA1/TCOF1/DLG5/SPRY1/SMAD2/TNXB/SNAI2"
