"baseMean","log2FoldChange","stat","pvalue","padj","B","symbol"
7.758,0.496,1.795,0.07653,0.1963,-4.846,"PRIMA1"
9.548,0.4957,1.583,0.1174,0.2651,-5.186,"THBS4"
1.048,0.4956,1.906,0.06024,0.1655,-4.652,"C9orf84"
9.978,0.4953,1.96,0.05356,0.1523,-4.555,"ARRDC4"
-0.7285,0.4951,3.144,0.002345,0.01585,-1.819,"IL20"
0.5873,0.4951,1.629,0.1073,0.2485,-5.115,"INSL3"
7.202,0.4951,1.419,0.16,0.3275,-5.422,"HMMR"
4.595,0.4949,1.869,0.06536,0.1757,-4.718,"C9orf47"
2.004,0.4946,1.8,0.0757,0.1946,-4.838,"C15orf56"
9.621,0.4942,4.335,4.265e-05,0.0009453,1.877,"ZAK"
8.258,0.494,2.366,0.02043,0.07602,-3.739,"CHST7"
2.065,0.494,1.444,0.1527,0.3176,-5.387,"KEL"
7.793,0.4935,1.13,0.2619,0.4546,-5.777,"KIF20A"
11.21,0.4934,1.702,0.09275,0.2243,-5.001,"AKAP12"
5.95,0.493,2.828,0.005941,0.03118,-2.654,"GUSBP3"
4.393,0.4929,0.8769,0.3832,0.5751,-6.024,"NPY2R"
8.459,0.4927,2.095,0.0394,0.1225,-4.299,"MDGA1"
7.271,0.4925,2.071,0.04165,0.1272,-4.345,"CCDC88C"
3.908,0.4925,2.472,0.01559,0.06245,-3.504,"RAG1"
6.303,0.4922,1.693,0.09448,0.2272,-5.015,"JPH2"
0.2707,0.4921,1.5,0.1376,0.2958,-5.308,"PTPRQ"
7.676,0.4914,2,0.04896,0.1425,-4.48,"SLC37A1"
8.011,0.4913,3.098,0.002695,0.0175,-1.945,"NFATC1"
8.984,0.4907,3.143,0.002358,0.01589,-1.824,"ADCY7"
9.451,0.4905,1.914,0.05924,0.1636,-4.638,"CPM"
5.969,0.4895,2.872,0.005229,0.02833,-2.54,"LOC100125556"
0.2499,0.4893,1.982,0.05091,0.1467,-4.513,"PTX4"
5.121,0.4888,1.626,0.108,0.2495,-5.121,"C14orf86"
9.695,0.4887,3.944,0.0001723,0.002516,0.5765,"NAGLU"
-0.7559,0.4882,2.8,0.006429,0.033,-2.724,"ORM2"
8.703,0.4881,1.984,0.05073,0.1464,-4.51,"GLI3"
8.456,0.4876,3.732,0.0003571,0.004133,-0.09759,"ZCCHC6"
9.458,0.4875,2.792,0.006566,0.03351,-2.743,"RPS6KA1"
8.009,0.4869,1.611,0.1113,0.2549,-5.144,"KLHL26"
1.601,0.4866,1.183,0.2404,0.4291,-5.718,"EBF2"
3.649,0.4864,1.328,0.1881,0.3641,-5.542,"MCOLN2"
7.864,0.486,1.991,0.04994,0.1448,-4.497,"EPHX2"
9.787,0.4858,4.64,1.363e-05,0.0004492,2.945,"FRMD8"
10.48,0.4857,2.426,0.01755,0.06823,-3.607,"LMO2"
-0.6286,0.4857,3.25,0.001696,0.01253,-1.525,"GGT6"
3.975,0.4852,2.326,0.0226,0.08157,-3.826,"HCG27"
1.134,0.485,1.505,0.1363,0.2942,-5.301,"KLHL30"
10.48,0.485,3.775,0.0003081,0.003736,0.03857,"C14orf4"
10.1,0.4848,1.782,0.07859,0.1999,-4.868,"PDGFA"
9.129,0.4847,3.604,0.0005465,0.005638,-0.4895,"OTUD7B"
8.016,0.4846,3.491,0.0007911,0.007331,-0.8291,"KIAA0020"
9.252,0.4843,3.878,0.0002165,0.002955,0.3649,"CRELD2"
9.784,0.4841,3.305,0.00143,0.01115,-1.37,"LIMK2"
5.385,0.4838,2.082,0.04063,0.1251,-4.324,"LOC100131691"
3.263,0.4837,1.576,0.1191,0.2679,-5.197,"ABCC6P1"
5.769,0.4836,2.307,0.02366,0.08437,-3.865,"C7orf10"
0.368,0.4835,2.021,0.04665,0.1375,-4.44,"CLRN1OS"
5.903,0.4832,1.262,0.2108,0.393,-5.625,"STEAP1"
10.17,0.4831,3.697,0.0004005,0.004524,-0.2034,"TMEM8A"
9.226,0.483,3.115,0.002567,0.01692,-1.901,"LEPRE1"
9.991,0.4826,4.606,1.553e-05,0.000492,2.823,"PTPN18"
9.964,0.4824,3.679,0.0004256,0.004742,-0.2594,"GBA"
8.821,0.4821,1.847,0.06851,0.1818,-4.757,"SLC16A4"
8.713,0.4821,3.724,0.0003661,0.0042,-0.1205,"ABHD3"
9.286,0.482,4.611,1.524e-05,0.0004881,2.841,"WDR19"
6.607,0.4819,2.31,0.02351,0.084,-3.86,"ANKRD9"
3.866,0.4819,1.618,0.1097,0.2525,-5.133,"RRN3P2"
5.723,0.4819,2.961,0.00405,0.02344,-2.311,"ARMC2"
11.73,0.4818,3.027,0.003334,0.0203,-2.137,"PFKFB3"
10.63,0.4818,3.979,0.0001526,0.002321,0.6891,"STK40"
9.497,0.4818,2.823,0.006024,0.03149,-2.666,"CHST14"
9.853,0.4816,1.757,0.08282,0.2076,-4.91,"TNFRSF19"
8.271,0.4813,1.567,0.1212,0.2712,-5.211,"FBLIM1"
2.362,0.4811,1.791,0.07717,0.1973,-4.853,"FAM7A3"
0.324,0.481,1.134,0.2602,0.4526,-5.773,"MYO3A"
11.07,0.4809,4.486,2.43e-05,0.0006613,2.403,"GM2A"
4.008,0.4808,1.555,0.1239,0.2758,-5.228,"NPB"
10.35,0.4807,3.662,0.0004506,0.004926,-0.312,"GYS1"
5.429,0.4807,1.106,0.2722,0.4668,-5.803,"SPEF2"
7.728,0.4807,2.391,0.01917,0.0726,-3.684,"SLC44A3"
10.26,0.4802,2.858,0.005444,0.02917,-2.576,"AXL"
-0.4669,0.4801,1.365,0.1762,0.3478,-5.494,"EPYC"
9.286,0.4793,1.483,0.1422,0.3023,-5.333,"SCN4B"
2.643,0.4791,0.9797,0.3302,0.5293,-5.931,"TERT"
1.205,0.479,1.528,0.1305,0.286,-5.268,"C3orf36"
4.547,0.479,2.332,0.02225,0.0807,-3.812,"HESX1"
11.6,0.4789,0.8971,0.3724,0.565,-6.006,"EGFR"
10.45,0.4787,4.816,6.949e-06,0.0002771,3.578,"SLC38A10"
2.704,0.4785,1.418,0.1602,0.3277,-5.423,"SERPINI2"
5.171,0.4784,3.003,0.003576,0.02142,-2.2,"NAGS"
7.578,0.4782,3.332,0.001312,0.01049,-1.291,"SLC41A2"
7.842,0.478,4.179,7.511e-05,0.00142,1.349,"CIDEB"
4.335,0.478,1.455,0.1497,0.3129,-5.373,"ULBP3"
8.482,0.478,3.324,0.001346,0.01069,-1.315,"TMEM107"
0.04341,0.4779,2.246,0.02749,0.09406,-3.994,"C9orf70"
9.809,0.4777,2.721,0.008007,0.03861,-2.919,"SLC22A23"
8.054,0.4776,2.894,0.004915,0.02698,-2.485,"STX3"
8.04,0.4775,2.787,0.006668,0.03388,-2.757,"C9orf89"
10.24,0.4775,4.493,2.376e-05,0.0006546,2.424,"MOBKL2A"
11,0.4772,2.622,0.01048,0.04662,-3.157,"PTGFRN"
10.61,0.4768,5.069,2.576e-06,0.0001394,4.513,"DIAPH1"
9.932,0.4765,2.623,0.01044,0.04652,-3.154,"TMEM54"
9.321,0.4763,2.379,0.0198,0.07432,-3.712,"SLC5A3"
1.02,0.4762,1.302,0.1967,0.3753,-5.575,"PLA2G2D"
7.124,0.4759,2.115,0.03754,0.1183,-4.258,"FGD3"
9.578,0.4758,2.864,0.005352,0.02884,-2.561,"SSX2IP"
2.691,0.4756,1.61,0.1115,0.2553,-5.146,"CD80"
8.239,0.4754,4.525,2.103e-05,0.0006019,2.539,"ARL13B"
12.08,0.4753,3.781,0.0003019,0.003693,0.05742,"GNA12"
8.479,0.4752,3.204,0.001955,0.01382,-1.654,"C16orf48"
7.975,0.475,3.27,0.001596,0.012,-1.47,"LRRC45"
8.902,0.475,3.618,0.000521,0.005465,-0.4456,"AGXT2L2"
6.271,0.475,1.306,0.1953,0.3737,-5.57,"PLCH1"
10.2,0.4746,3.834,0.0002518,0.003267,0.2254,"SLC12A9"
11.59,0.4741,2.602,0.01106,0.0486,-3.204,"KCTD12"
10.8,0.474,3.831,0.0002547,0.003292,0.2148,"HS6ST1"
8.279,0.4738,2.537,0.01316,0.0553,-3.356,"RAB3IL1"
2.39,0.4738,1.737,0.08623,0.2135,-4.942,"DHRS4L1"
9.461,0.4737,4,0.0001418,0.002215,0.7577,"WDR81"
5.177,0.4736,1.801,0.07554,0.1943,-4.836,"CASS4"
0.1878,0.4734,1.859,0.0668,0.1787,-4.736,"SEC14L4"
11.69,0.4734,1.068,0.2888,0.4862,-5.843,"HBB"
3.591,0.473,1.878,0.06403,0.1733,-4.701,"PRR15"
5.487,0.473,1.606,0.1122,0.2563,-5.15,"ZDHHC11"
-0.5705,0.4728,2.859,0.005429,0.02913,-2.574,"FAM71E2"
8.47,0.4728,2.061,0.04256,0.1288,-4.363,"ITGA1"
3.965,0.4724,1.971,0.05221,0.1494,-4.534,"TTC23L"
6.376,0.4721,1.394,0.1671,0.336,-5.455,"ACP5"
7.429,0.4719,1.089,0.2795,0.4756,-5.821,"LAMA1"
10.97,0.4717,4.049,0.0001195,0.001973,0.9167,"CTDSP1"
11.62,0.4713,4.596,1.61e-05,0.0005035,2.789,"SH3GLB1"
8.866,0.4713,2.297,0.02427,0.08603,-3.887,"EML2"
7.855,0.4711,3,0.003612,0.02156,-2.209,"CCDC88B"
8.557,0.471,1.613,0.1107,0.2541,-5.14,"TNXB"
5.307,0.4709,1.933,0.05684,0.1587,-4.604,"HRCT1"
8.662,0.4709,2.402,0.01864,0.07112,-3.659,"PDK1"
-0.2916,0.4707,2.054,0.04332,0.1305,-4.378,"EPB42"
11.38,0.4705,3.88,0.000215,0.002941,0.3713,"VAMP3"
8.298,0.4703,3.175,0.002134,0.01477,-1.734,"SLC22A5"
5.967,0.4701,1.62,0.1093,0.2517,-5.13,"SARDH"
8.476,0.47,3.209,0.001929,0.01371,-1.642,"DONSON"
1.042,0.4698,1.036,0.3032,0.502,-5.875,"CD177"
8.827,0.4695,3.363,0.001191,0.009756,-1.203,"TEP1"
7.766,0.4694,2.035,0.04516,0.1343,-4.413,"AMT"
10.02,0.4694,2.434,0.01717,0.06705,-3.588,"CXCR7"
4.057,0.4692,1.83,0.07095,0.1865,-4.785,"C10orf93"
8.481,0.469,3.397,0.00107,0.009086,-1.106,"CCHCR1"
0.7466,0.4688,2.141,0.03534,0.1129,-4.207,"GALR2"
0.8734,0.4684,1.674,0.09801,0.2331,-5.044,"MYO1A"
1.968,0.4682,1.363,0.1768,0.3487,-5.497,"LOC440356"
13.26,0.4682,4.083,0.0001057,0.001803,1.03,"PPP1CB"
1.423,0.4681,1.144,0.2562,0.4479,-5.762,"DSCR6"
10.63,0.468,1.73,0.08757,0.2159,-4.955,"PLAT"
10.68,0.4679,4.276,5.276e-05,0.001106,1.678,"ARAP1"
7.49,0.4679,2.023,0.0465,0.1372,-4.437,"CCDC69"
10.9,0.4678,4.389,3.495e-05,0.0008323,2.063,"TXLNA"
10.35,0.4674,3.241,0.001743,0.01277,-1.55,"NUMBL"
6.787,0.4673,1.585,0.117,0.2643,-5.183,"CD84"
9.967,0.4672,3.039,0.003214,0.01977,-2.103,"BAG3"
2.848,0.4672,1.112,0.2695,0.4636,-5.797,"HABP2"
9.446,0.4672,3.139,0.002382,0.01601,-1.833,"EDEM2"
7.191,0.4671,1.51,0.135,0.2923,-5.294,"C5orf25"
11.38,0.4667,2.175,0.03259,0.1068,-4.138,"CBR1"
7.441,0.4665,3.383,0.001117,0.009351,-1.144,"SLC24A1"
10.23,0.4662,3.154,0.002278,0.01551,-1.793,"ZNF436"
11,0.4661,3.526,0.0007067,0.006758,-0.7257,"CSTB"
11.43,0.4659,2.76,0.007186,0.03578,-2.823,"SFXN5"
6.773,0.4659,2.097,0.03923,0.1221,-4.295,"MPP6"
-0.1125,0.4651,1.532,0.1295,0.2844,-5.262,"ADH4"
7.781,0.465,2.824,0.005997,0.03141,-2.662,"CCDC125"
8.156,0.4648,1.729,0.08765,0.216,-4.955,"STK33"
4.073,0.4648,0.5929,0.5549,0.7267,-6.228,"CYorf15B"
9.307,0.4647,3.417,0.001004,0.008687,-1.047,"PRKD2"
6.278,0.4644,1.583,0.1175,0.2651,-5.186,"GTF2H2B"
7.257,0.4644,1.245,0.2168,0.4001,-5.645,"LRRN4CL"
8.949,0.4642,2.964,0.004013,0.02333,-2.303,"RBAK"
-0.3685,0.4642,2.55,0.01271,0.05381,-3.326,"NR0B2"
7.588,0.464,4.974,3.748e-06,0.0001821,4.16,"TIGD6"
4.62,0.4639,1.082,0.2824,0.479,-5.828,"MSL3L2"
4.19,0.4636,1.618,0.1097,0.2525,-5.133,"LOC100271722"
5.92,0.4635,0.8717,0.386,0.5776,-6.028,"KCNG1"
8.279,0.4635,3.164,0.002213,0.01517,-1.767,"HHLA3"
8.643,0.4635,3.165,0.002202,0.01512,-1.762,"DNMBP"
5.014,0.4634,1.261,0.2111,0.3934,-5.626,"PAX8"
10.36,0.4633,4.302,4.804e-05,0.001032,1.766,"SMPD1"
9.721,0.4632,2.937,0.004335,0.02463,-2.372,"CASP2"
9.736,0.463,1.972,0.05211,0.1493,-4.532,"SKAP2"
6.657,0.4629,1.197,0.2348,0.4221,-5.701,"OASL"
8.755,0.4629,2.346,0.02146,0.07873,-3.781,"TMEM22"
7.419,0.4623,2.319,0.02297,0.08255,-3.84,"TRIM38"
2.385,0.4621,1.37,0.1745,0.3457,-5.487,"MADCAM1"
8.92,0.4621,1.691,0.0947,0.2275,-5.017,"FRZB"
10.38,0.462,4.165,7.895e-05,0.001469,1.302,"HGSNAT"
9.315,0.4619,2.152,0.03449,0.111,-4.187,"MAOA"
8.35,0.4619,2.039,0.04482,0.1337,-4.407,"NBPF10"
3.557,0.4617,2.727,0.00788,0.03822,-2.905,"POTEE"
11.96,0.4615,1.731,0.08737,0.2156,-4.953,"HSPA1A"
6.503,0.4612,1.901,0.0609,0.1669,-4.66,"C13orf31"
6.934,0.4611,1.423,0.1588,0.326,-5.417,"LAMB3"
8.889,0.461,3.649,0.0004701,0.005056,-0.3509,"ERMAP"
1.293,0.4609,1.167,0.2465,0.4364,-5.735,"CST6"
11.11,0.4609,5.208,1.484e-06,9.75e-05,5.034,"TFE3"
7.672,0.4604,2.771,0.006971,0.03504,-2.796,"FKBP11"
8.275,0.4603,2.696,0.008578,0.04055,-2.98,"FDXR"
5.675,0.4601,0.8663,0.3889,0.5807,-6.033,"IQCA1"
8.74,0.4601,3.397,0.00107,0.009084,-1.105,"FYCO1"
11.33,0.4601,4.257,5.668e-05,0.001165,1.611,"MGAT1"
3.79,0.4601,1.131,0.2614,0.4539,-5.776,"ARL9"
8.698,0.4599,2.522,0.01367,0.05673,-3.389,"RCSD1"
5.747,0.4597,2.508,0.01418,0.05834,-3.422,"ZNF837"
0.4447,0.4595,1.824,0.07198,0.188,-4.797,"PLAC4"
-0.2625,0.4593,1.981,0.05105,0.147,-4.515,"IFNG"
11.37,0.4589,1.876,0.06433,0.1739,-4.705,"CA2"
0.9792,0.4589,2.167,0.03327,0.1083,-4.156,"FABP5L3"
12.08,0.4588,2.557,0.01247,0.05307,-3.31,"PBXIP1"
8.195,0.4586,5.675,2.203e-07,2.61e-05,6.838,"BCL10"
2.787,0.4586,1.946,0.05517,0.1553,-4.579,"FAM186B"
3.563,0.4585,1.119,0.2666,0.4603,-5.789,"C1orf133"
5.912,0.4585,2.413,0.01815,0.06983,-3.637,"STAP2"
6.661,0.4582,1.48,0.1428,0.3034,-5.337,"PTAFR"
8.77,0.4582,3.79,0.0002929,0.003623,0.08552,"TMEM60"
8.866,0.4582,2.725,0.007926,0.03835,-2.91,"TMEM140"
11.74,0.4581,2.605,0.01097,0.04829,-3.197,"ATP6V0E1"
10.85,0.4579,1.287,0.2017,0.3817,-5.593,"GPX3"
4.515,0.4577,1.328,0.1879,0.3639,-5.541,"WFDC2"
10.11,0.4576,2.647,0.009813,0.04435,-3.099,"C6orf145"
3.242,0.4576,3.097,0.002708,0.01755,-1.949,"C1orf84"
10.45,0.4576,2.871,0.005254,0.02844,-2.544,"MID1IP1"
5.24,0.4575,1.633,0.1065,0.2474,-5.11,"PAWR"
9.216,0.4575,3.84,0.0002472,0.003232,0.2424,"HPS5"
9.029,0.4574,4.778,8.036e-06,0.0003116,3.442,"BNIP2"
12.15,0.4573,3.548,0.0006576,0.006444,-0.6595,"PRDX6"
4.762,0.4573,0.5169,0.6067,0.7696,-6.27,"IRX1"
3.461,0.457,2.054,0.04332,0.1305,-4.378,"ZC3H12D"
1.911,0.457,1.337,0.1852,0.3602,-5.531,"CAPN9"
10.76,0.4569,2.409,0.01832,0.07023,-3.644,"SEC14L2"
7.704,0.4568,1.799,0.07586,0.1949,-4.839,"MPEG1"
10.33,0.4564,3.518,0.0007241,0.006862,-0.748,"KLHL21"
1.895,0.4563,0.8197,0.4148,0.6048,-6.071,"TFF3"
4.619,0.4562,1.681,0.09676,0.2309,-5.034,"CEACAM21"
9.017,0.4561,2.687,0.00878,0.04108,-3.001,"GALK1"
7.473,0.456,2.754,0.007302,0.03614,-2.837,"SPSB2"
9.099,0.4558,3.828,0.0002575,0.003313,0.2047,"CLN6"
5.238,0.4553,1.306,0.1955,0.3739,-5.57,"ATG9B"
9.974,0.4551,2.961,0.004047,0.02344,-2.311,"IQCE"
8.42,0.4549,2.303,0.02392,0.08505,-3.874,"CCDC113"
8.911,0.4548,3.393,0.001082,0.00914,-1.115,"DOK1"
12.41,0.4548,3.441,0.0009279,0.008203,-0.9752,"SORT1"
9.675,0.4548,2.671,0.009171,0.04239,-3.039,"NUDT16"
8.088,0.4546,2.637,0.01006,0.0452,-3.12,"ELK3"
9.931,0.4546,3.761,0.0003236,0.003857,-0.00677,"DENND1A"
10.31,0.4543,2.686,0.008812,0.04122,-3.004,"WDR34"
11.43,0.4543,4.387,3.519e-05,0.000837,2.056,"PIGT"
9.244,0.4543,1.541,0.1273,0.2807,-5.248,"ADAMTS9"
2.98,0.4541,1.009,0.3161,0.5156,-5.903,"LOC284276"
2.606,0.454,1.99,0.05008,0.1451,-4.499,"VPREB3"
6.542,0.4539,1.532,0.1294,0.2843,-5.261,"HPGDS"
9.366,0.4539,2.041,0.04461,0.1333,-4.403,"CDK2"
3.896,0.4538,1.24,0.2185,0.4022,-5.65,"XPNPEP2"
-0.6067,0.4534,2.235,0.02826,0.09604,-4.017,"FAM74A1"
3.903,0.4533,1.487,0.141,0.3006,-5.327,"HPX"
-0.08428,0.4533,2.141,0.03532,0.1129,-4.207,"VCX3B"
9.464,0.4526,4.074,0.0001093,0.001845,0.9992,"GHDC"
6.472,0.4525,1.486,0.1414,0.301,-5.329,"EGFLAM"
5.979,0.4524,2.675,0.009079,0.04212,-3.03,"WHAMML1"
8.971,0.4523,3.379,0.001134,0.009471,-1.159,"STYXL1"
5.771,0.4522,2.008,0.04809,0.1408,-4.465,"CLEC4A"
1.371,0.452,1.719,0.08953,0.2191,-4.972,"C19orf46"
4.116,0.4519,1.319,0.1909,0.3675,-5.553,"CTSL2"
2.929,0.4518,1.435,0.1551,0.321,-5.399,"CLDN9"
3.931,0.4517,1.414,0.1612,0.3293,-5.428,"F2RL3"
9.057,0.4516,3.135,0.002413,0.01617,-1.845,"ARSA"
9.268,0.4516,2.679,0.00898,0.04181,-3.021,"LPAR6"
4.386,0.4515,1.815,0.07327,0.1905,-4.811,"HAS2AS"
6.908,0.4514,2.756,0.007263,0.03599,-2.833,"DIAPH2"
9.955,0.4513,2.794,0.006539,0.03341,-2.739,"BTG3"
10.63,0.4513,3.566,0.0006202,0.006172,-0.6059,"SLC12A4"
6.923,0.451,4.391,3.463e-05,0.0008283,2.072,"FAM86C"
11.67,0.4509,2.469,0.01569,0.06273,-3.51,"SLC2A1"
7.225,0.4507,1.186,0.239,0.4271,-5.714,"NTNG1"
9.407,0.4506,3.017,0.003432,0.02075,-2.163,"SFRS17A"
9.135,0.4506,2.107,0.03826,0.12,-4.274,"PALM2.AKAP2"
4.4,0.4506,1.51,0.135,0.2924,-5.294,"CCDC122"
2.588,0.4506,0.9938,0.3233,0.5228,-5.917,"ALOX12P2"
1.271,0.4505,1.7,0.09313,0.225,-5.004,"C1QTNF9B"
-0.2622,0.4503,2.439,0.01697,0.06648,-3.578,"HAVCR1"
9.012,0.45,3.495,0.0007809,0.007257,-0.8172,"SLC35D1"
9.285,0.4495,3.938,0.0001759,0.002551,0.5573,"NUCB2"
6.924,0.4495,1.488,0.1408,0.3005,-5.326,"FZD8"
8.479,0.4493,2.916,0.004608,0.02579,-2.427,"BMP2K"
9.237,0.4493,1.645,0.1039,0.243,-5.091,"SPRY1"
9.792,0.4491,2.579,0.01176,0.05081,-3.258,"SYNE2"
5.962,0.4486,1.248,0.2159,0.3991,-5.642,"ZSCAN12P1"
9.18,0.4484,3.034,0.003263,0.01998,-2.117,"UBXN11"
9.273,0.4484,3.903,0.0001985,0.002791,0.4455,"TULP3"
0.5533,0.4482,2.2,0.03074,0.1022,-4.089,"C1orf125"
0.8342,0.4479,2.133,0.03604,0.1146,-4.224,"RLN1"
9.296,0.4478,2.08,0.04076,0.1253,-4.327,"CEBPA"
5.342,0.4477,1.353,0.1799,0.3533,-5.51,"ALS2CL"
6.155,0.4476,2.948,0.004206,0.02412,-2.345,"PAOX"
8.683,0.4472,3.156,0.002265,0.01543,-1.788,"ESF1"
1.897,0.447,1.329,0.1878,0.3638,-5.541,"DUOXA1"
1.734,0.4469,1.362,0.177,0.3491,-5.498,"TM4SF19"
12.05,0.4468,3.436,0.0009435,0.008299,-0.9904,"KDELR2"
8.92,0.4468,3.413,0.001018,0.008763,-1.06,"GALNS"
10.09,0.4467,3.501,0.0007665,0.007163,-0.8002,"RABL5"
0.1151,0.4463,1.79,0.07737,0.1975,-4.855,"C14orf34"
5.524,0.4461,2.229,0.02867,0.09698,-4.03,"WHAMML2"
10.4,0.4459,3.602,0.0005496,0.00566,-0.4948,"CLIP1"
0.1218,0.4459,1.323,0.1898,0.3664,-5.549,"CHAT"
4.508,0.4457,1.439,0.154,0.3196,-5.394,"HIST1H2AE"
9.368,0.4457,3.706,0.0003893,0.004427,-0.1773,"CCDC55"
6.064,0.4456,3.198,0.001992,0.01402,-1.671,"LETM2"
7.582,0.4456,1.857,0.0671,0.1792,-4.74,"SPA17"
12.04,0.4455,2.357,0.02091,0.07729,-3.759,"ATP2B4"
8.435,0.4454,2.991,0.003711,0.02195,-2.233,"REEP4"
10.35,0.4447,2.168,0.03321,0.1082,-4.154,"C10orf54"
1.185,0.4445,1.827,0.07144,0.1871,-4.791,"FAM90A7"
0.2637,0.4445,1.311,0.1938,0.3714,-5.564,"ATP12A"
7.17,0.4443,1.605,0.1125,0.2568,-5.152,"SNAI2"
7.609,0.4441,1.498,0.1382,0.2966,-5.311,"MTAP"
8.74,0.4441,2.33,0.02236,0.08092,-3.816,"LRDD"
3.092,0.4441,1.109,0.2708,0.4652,-5.8,"WFDC3"
-0.01828,0.444,1.626,0.108,0.2495,-5.121,"AIPL1"
0.473,0.4438,1.818,0.07293,0.1898,-4.807,"MFSD6L"
10.96,0.4435,1.828,0.07132,0.187,-4.789,"MATN2"
9.991,0.4435,1.351,0.1806,0.354,-5.512,"IL1RAP"
8.667,0.4432,3.498,0.000772,0.007203,-0.8067,"TMEM150A"
9.273,0.4431,2.861,0.0054,0.02903,-2.569,"EFHC1"
0.5152,0.4431,1.647,0.1036,0.2427,-5.088,"SLC9A4"
2.459,0.4431,0.879,0.3821,0.5741,-6.022,"DMKN"
11.7,0.4429,3.812,0.000272,0.003448,0.1538,"WASF2"
1.252,0.4427,1.7,0.09312,0.225,-5.004,"C8G"
5.607,0.4426,1.517,0.1334,0.2901,-5.284,"SPAG8"
10.51,0.4422,5.205,1.498e-06,9.758e-05,5.024,"NUB1"
1.751,0.4417,1.221,0.2256,0.4112,-5.673,"C2orf70"
9.518,0.4416,2.886,0.005035,0.02747,-2.506,"C14orf43"
9.332,0.4415,2.948,0.004203,0.02411,-2.345,"STK10"
15.54,0.4413,4.813,7.036e-06,0.0002801,3.567,"UBC"
5.562,0.4409,1.594,0.115,0.2612,-5.17,"C19orf38"
11.62,0.4407,2.559,0.01241,0.05289,-3.305,"FCGRT"
5.642,0.4407,2.434,0.0172,0.06711,-3.59,"ARID3A"
9.727,0.4407,2.064,0.04232,0.1284,-4.359,"NUP210"
10.31,0.4405,3.284,0.001526,0.01164,-1.429,"PLEKHO2"
8.358,0.4404,2.818,0.006111,0.03179,-2.679,"SLC36A1"
9.829,0.4403,2.204,0.03045,0.1014,-4.081,"GALC"
6.164,0.4401,1.006,0.3177,0.5172,-5.906,"WISP1"
9.505,0.4399,4.129,8.967e-05,0.001601,1.184,"IRF2"
9.368,0.4398,2.25,0.02721,0.09345,-3.985,"ROM1"
6.144,0.4396,1.912,0.05944,0.1641,-4.641,"CCRL2"
1.063,0.4396,1.654,0.1021,0.2403,-5.077,"CDRT1"
0.7002,0.4396,1.403,0.1644,0.333,-5.443,"TSNAX.DISC1"
10.37,0.4394,5.246,1.274e-06,8.736e-05,5.178,"C2orf18"
9.831,0.4394,1.656,0.1018,0.2396,-5.074,"LYNX1"
10.49,0.4392,2.694,0.00863,0.04063,-2.985,"TAX1BP3"
5.646,0.4389,1.581,0.1179,0.2659,-5.189,"SMAGP"
8.301,0.4388,2.093,0.03954,0.1228,-4.302,"NBPF14"
2.919,0.4388,1.248,0.2158,0.399,-5.641,"MB"
11,0.4382,3.029,0.003312,0.02019,-2.13,"DPP7"
5.638,0.4381,2.621,0.01051,0.0467,-3.159,"KCNJ14"
10.34,0.4377,3.966,0.0001596,0.002391,0.6478,"TMEM109"
5.605,0.4377,2.795,0.006514,0.03332,-2.736,"NEURL2"
9.147,0.4377,3.31,0.001407,0.01102,-1.355,"MKNK1"
10.33,0.4373,4.527,2.09e-05,0.0006001,2.544,"RNPEPL1"
2.595,0.4373,1.485,0.1414,0.3011,-5.329,"C9orf43"
3.176,0.4373,1.815,0.07335,0.1906,-4.812,"FAM53A"
11.59,0.4371,3.368,0.001172,0.009656,-1.188,"SLC16A1"
8.686,0.437,4.468,2.602e-05,0.0006864,2.339,"FAM18B"
5.656,0.4368,2.064,0.04232,0.1284,-4.359,"SLC16A6"
4.407,0.4367,1.231,0.2219,0.4061,-5.661,"GPAT2"
10.56,0.4367,3.429,0.0009657,0.008435,-1.012,"RALBP1"
7.821,0.4366,2.006,0.04824,0.1411,-4.468,"LYPD6"
9.586,0.4362,1.815,0.07335,0.1906,-4.812,"DLC1"
11.66,0.436,2.704,0.008384,0.03997,-2.96,"NOTCH2"
7.272,0.4359,1.46,0.1482,0.3107,-5.365,"TBX15"
8.448,0.4359,1.702,0.09265,0.2242,-5,"TMTC1"
0.08564,0.4358,1.81,0.0741,0.1918,-4.82,"CASR"
-0.3631,0.4358,1.823,0.07209,0.1882,-4.798,"IL1F5"
8.457,0.4357,1.904,0.06055,0.1661,-4.656,"CHDH"
3.096,0.4357,0.914,0.3635,0.5557,-5.992,"CLEC10A"
9.676,0.4353,3.375,0.001147,0.009531,-1.169,"SNX9"
8.722,0.435,2.378,0.01984,0.07444,-3.714,"GIMAP6"
9.024,0.4345,3.057,0.003052,0.01912,-2.057,"GAS8"
10.94,0.4345,3.574,0.0006036,0.006051,-0.5809,"IFNGR2"
10.43,0.4345,5.031,2.991e-06,0.0001541,4.372,"ACP2"
10.16,0.4343,2.344,0.02161,0.07913,-3.787,"SGEF"
9.174,0.4342,1.579,0.1184,0.2668,-5.192,"CFH"
9.999,0.434,2.514,0.01398,0.05771,-3.409,"PTK7"
11.13,0.434,2.026,0.04612,0.1363,-4.43,"TAP1"
11.33,0.4334,1.558,0.1232,0.2746,-5.223,"VOPP1"
7.321,0.4333,1.955,0.05414,0.1534,-4.564,"HSD17B8"
