"baseMean","log2FoldChange","stat","pvalue","padj","B","symbol"
3.737,1.909,5.128,2.042e-06,0.0001206,4.732,"KRT7"
11.49,1.909,5.857,1.032e-07,1.579e-05,7.557,"S100A10"
6.25,1.906,4.339,4.199e-05,0.0009348,1.891,"TCTEX1D1"
7.155,1.906,5.023,3.094e-06,0.0001562,4.34,"CELSR1"
3.809,1.904,6.222,2.196e-08,5.489e-06,9.025,"MAK"
8.038,1.902,3.435,0.0009488,0.008341,-0.9955,"IL8"
4.285,1.902,4.773,8.19e-06,0.0003162,3.424,"C15orf48"
10.06,1.898,5.325,9.239e-07,6.741e-05,5.481,"CA12"
6.844,1.897,4.38,3.603e-05,0.0008458,2.034,"PPL"
2.907,1.894,3.09,0.002767,0.01782,-1.969,"CCL18"
3.549,1.89,4.633,1.4e-05,0.0004592,2.92,"SFN"
3.023,1.888,2.896,0.004887,0.02688,-2.48,"C1orf158"
11.14,1.888,4.264,5.523e-05,0.001143,1.635,"CHI3L2"
12.2,1.884,5.457,5.416e-07,4.827e-05,5.986,"FCGBP"
2.649,1.883,5.32,9.424e-07,6.817e-05,5.463,"KRT80"
10.3,1.876,6.732,2.425e-09,1.015e-06,11.12,"STEAP3"
2.132,1.875,4.957,4.005e-06,0.0001896,4.097,"TREML3"
9.037,1.874,5.967,6.512e-08,1.113e-05,7.993,"PLAU"
7.539,1.874,5.22,1.412e-06,9.401e-05,5.08,"CLEC5A"
10,1.871,6.609,4.151e-09,1.576e-06,10.61,"PLP2"
2.976,1.866,3.6,0.0005532,0.005688,-0.5008,"KRT75"
5.083,1.866,3.742,0.0003452,0.004044,-0.06629,"ALOX15B"
1.951,1.861,3.543,0.0006668,0.0065,-0.6723,"CCDC37"
4.682,1.858,6.224,2.179e-08,5.489e-06,9.033,"CLDN23"
2.141,1.856,4.472,2.562e-05,0.0006798,2.353,"C2orf62"
11.55,1.851,4.907,4.881e-06,0.0002129,3.911,"MAOB"
4.7,1.841,4.405,3.285e-05,0.0008046,2.121,"CXCL1"
4.497,1.835,3.666,0.0004455,0.004901,-0.3014,"HPD"
9.335,1.834,7.501,8.162e-11,1.116e-07,14.34,"DPYD"
1.231,1.834,3.764,0.0003198,0.003825,0.004142,"CCL7"
5.073,1.831,5.937,7.368e-08,1.21e-05,7.876,"VDR"
12.31,1.828,6.465,7.738e-09,2.479e-06,10.02,"TIMP1"
4.261,1.826,4.091,0.0001028,0.001766,1.057,"C13orf33"
6.216,1.818,5.381,7.367e-07,5.818e-05,5.695,"RNASE2"
3.195,1.817,3.203,0.001963,0.01385,-1.658,"YSK4"
3.166,1.814,3.794,0.0002888,0.003595,0.09847,"COL13A1"
9.479,1.808,4.41,3.232e-05,0.0007926,2.136,"CCL2"
6.313,1.806,6.373,1.149e-08,3.318e-06,9.64,"MYO1G"
4.348,1.804,3.146,0.002337,0.01581,-1.816,"HMGA2"
1.197,1.8,3.519,0.0007226,0.006855,-0.7461,"CAMP"
4.162,1.799,5.359,8.072e-07,6.107e-05,5.609,"CPA4"
2.685,1.797,4.281,5.192e-05,0.001094,1.693,"C12orf63"
9.353,1.797,6.162,2.842e-08,6.547e-06,8.78,"CRB2"
13.1,1.795,6.52,6.107e-09,2.122e-06,10.24,"TNC"
4.886,1.795,4.108,9.683e-05,0.001702,1.112,"C9orf171"
